-> EPOCH :  77 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.590 , KL LOSS : 244.199 , TOTAL LOSS : 13.590 , MEAN : -0.003 , STD : 1.451
-> EPOCH :  78 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.705 , KL LOSS : 247.200 , TOTAL LOSS : 13.705 , MEAN : -0.003 , STD : 1.451
-> EPOCH :  79 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.599 , KL LOSS : 248.882 , TOTAL LOSS : 13.599 , MEAN : -0.003 , STD : 1.450
-> EPOCH :  80 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.498 , KL LOSS : 252.385 , TOTAL LOSS : 13.498 , MEAN : -0.003 , STD : 1.448
-> EPOCH :  81 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.475 , KL LOSS : 253.528 , TOTAL LOSS : 13.475 , MEAN : -0.003 , STD : 1.448
-> EPOCH :  82 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.332 , KL LOSS : 254.255 , TOTAL LOSS : 13.332 , MEAN : -0.003 , STD : 1.447
-> EPOCH :  83 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.228 , KL LOSS : 258.030 , TOTAL LOSS : 13.228 , MEAN : -0.003 , STD : 1.447
-> EPOCH :  84 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.401 , KL LOSS : 258.645 , TOTAL LOSS : 13.401 , MEAN : -0.003 , STD : 1.446
-> EPOCH :  85 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.227 , KL LOSS : 258.112 , TOTAL LOSS : 13.227 , MEAN : -0.003 , STD : 1.446
-> EPOCH :  86 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.510 , KL LOSS : 260.807 , TOTAL LOSS : 13.510 , MEAN : -0.003 , STD : 1.446
-> EPOCH :  87 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.288 , KL LOSS : 263.744 , TOTAL LOSS : 13.288 , MEAN : -0.003 , STD : 1.445
-> EPOCH :  88 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.319 , KL LOSS : 266.419 , TOTAL LOSS : 13.319 , MEAN : -0.004 , STD : 1.444
-> EPOCH :  89 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.265 , KL LOSS : 268.343 , TOTAL LOSS : 13.265 , MEAN : -0.004 , STD : 1.444
-> EPOCH :  90 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.207 , KL LOSS : 268.278 , TOTAL LOSS : 13.207 , MEAN : -0.004 , STD : 1.444
-> EPOCH :  91 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.143 , KL LOSS : 271.745 , TOTAL LOSS : 13.143 , MEAN : -0.004 , STD : 1.443
-> EPOCH :  92 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.065 , KL LOSS : 270.996 , TOTAL LOSS : 13.065 , MEAN : -0.004 , STD : 1.442
-> EPOCH :  93 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.911 , KL LOSS : 273.956 , TOTAL LOSS : 12.911 , MEAN : -0.004 , STD : 1.442
-> EPOCH :  94 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.146 , KL LOSS : 278.820 , TOTAL LOSS : 13.146 , MEAN : -0.004 , STD : 1.441
-> EPOCH :  95 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.861 , KL LOSS : 278.555 , TOTAL LOSS : 12.861 , MEAN : -0.004 , STD : 1.441
-> EPOCH :  96 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.781 , KL LOSS : 281.708 , TOTAL LOSS : 12.781 , MEAN : -0.004 , STD : 1.440
-> EPOCH :  97 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.668 , KL LOSS : 284.382 , TOTAL LOSS : 12.668 , MEAN : -0.004 , STD : 1.440
-> EPOCH :  98 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.565 , KL LOSS : 283.679 , TOTAL LOSS : 12.565 , MEAN : -0.004 , STD : 1.440
-> EPOCH :  99 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.559 , KL LOSS : 285.869 , TOTAL LOSS : 12.559 , MEAN : -0.005 , STD : 1.439
-> EPOCH : 100 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.571 , KL LOSS : 290.247 , TOTAL LOSS : 12.571 , MEAN : -0.005 , STD : 1.439
-> EPOCH : 101 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.486 , KL LOSS : 295.010 , TOTAL LOSS : 12.486 , MEAN : -0.005 , STD : 1.438
-> EPOCH : 102 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.396 , KL LOSS : 294.050 , TOTAL LOSS : 12.396 , MEAN : -0.005 , STD : 1.437
-> EPOCH : 103 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.295 , KL LOSS : 292.517 , TOTAL LOSS : 12.295 , MEAN : -0.005 , STD : 1.438
-> EPOCH : 104 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.336 , KL LOSS : 297.605 , TOTAL LOSS : 12.336 , MEAN : -0.005 , STD : 1.437
-> EPOCH : 105 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.159 , KL LOSS : 296.952 , TOTAL LOSS : 12.159 , MEAN : -0.005 , STD : 1.437
-> EPOCH : 106 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.132 , KL LOSS : 301.622 , TOTAL LOSS : 12.132 , MEAN : -0.005 , STD : 1.436
-> EPOCH : 107 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.039 , KL LOSS : 300.729 , TOTAL LOSS : 12.039 , MEAN : -0.005 , STD : 1.436
-> EPOCH : 108 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.948 , KL LOSS : 300.546 , TOTAL LOSS : 11.948 , MEAN : -0.005 , STD : 1.435
-> EPOCH : 109 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.001 , KL LOSS : 305.779 , TOTAL LOSS : 12.001 , MEAN : -0.005 , STD : 1.434
-> EPOCH : 110 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.000 , KL LOSS : 306.605 , TOTAL LOSS : 12.000 , MEAN : -0.005 , STD : 1.434
-> EPOCH : 111 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.188 , KL LOSS : 310.901 , TOTAL LOSS : 12.188 , MEAN : -0.005 , STD : 1.433
-> EPOCH : 112 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.980 , KL LOSS : 310.038 , TOTAL LOSS : 11.980 , MEAN : -0.005 , STD : 1.433
-> EPOCH : 113 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.961 , KL LOSS : 314.279 , TOTAL LOSS : 11.961 , MEAN : -0.006 , STD : 1.432
-> EPOCH : 114 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.664 , KL LOSS : 313.692 , TOTAL LOSS : 11.664 , MEAN : -0.006 , STD : 1.432
-> EPOCH : 115 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.697 , KL LOSS : 317.691 , TOTAL LOSS : 11.697 , MEAN : -0.006 , STD : 1.431
-> EPOCH : 116 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.611 , KL LOSS : 317.925 , TOTAL LOSS : 11.611 , MEAN : -0.006 , STD : 1.431
-> EPOCH : 117 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.569 , KL LOSS : 318.890 , TOTAL LOSS : 11.569 , MEAN : -0.006 , STD : 1.431
-> EPOCH : 118 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.514 , KL LOSS : 326.483 , TOTAL LOSS : 11.514 , MEAN : -0.006 , STD : 1.430
-> EPOCH : 119 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.419 , KL LOSS : 326.659 , TOTAL LOSS : 11.419 , MEAN : -0.006 , STD : 1.429
-> EPOCH : 120 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.398 , KL LOSS : 325.766 , TOTAL LOSS : 11.398 , MEAN : -0.006 , STD : 1.429
-> EPOCH : 121 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.450 , KL LOSS : 329.657 , TOTAL LOSS : 11.450 , MEAN : -0.006 , STD : 1.428
-> EPOCH : 122 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.436 , KL LOSS : 333.273 , TOTAL LOSS : 11.436 , MEAN : -0.007 , STD : 1.428
-> EPOCH : 123 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.314 , KL LOSS : 334.782 , TOTAL LOSS : 11.314 , MEAN : -0.007 , STD : 1.427
-> EPOCH : 124 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.308 , KL LOSS : 336.645 , TOTAL LOSS : 11.308 , MEAN : -0.007 , STD : 1.427
-> EPOCH : 125 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.244 , KL LOSS : 335.464 , TOTAL LOSS : 11.244 , MEAN : -0.007 , STD : 1.427
-> EPOCH : 126 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.214 , KL LOSS : 340.584 , TOTAL LOSS : 11.214 , MEAN : -0.007 , STD : 1.426
-> EPOCH : 127 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.268 , KL LOSS : 342.235 , TOTAL LOSS : 11.268 , MEAN : -0.007 , STD : 1.425
-> EPOCH : 128 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.212 , KL LOSS : 345.104 , TOTAL LOSS : 11.212 , MEAN : -0.007 , STD : 1.424
-> EPOCH : 129 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.080 , KL LOSS : 348.332 , TOTAL LOSS : 11.080 , MEAN : -0.007 , STD : 1.424
-> EPOCH : 130 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10.976 , KL LOSS : 347.740 , TOTAL LOSS : 10.976 , MEAN : -0.007 , STD : 1.424
