-> EPOCH :  91 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6158.131 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  92 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6038.887 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  93 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5917.511 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  94 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5856.173 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  95 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5742.816 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  96 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5639.455 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  97 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5516.961 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  98 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5424.368 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  99 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5381.292 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 100 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5279.327 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 101 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5171.011 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 102 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5100.409 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 103 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 5028.690 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 104 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4923.113 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 105 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4830.986 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 106 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4779.836 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 107 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4700.257 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 108 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4580.674 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 109 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4539.426 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 110 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4481.438 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 111 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4404.394 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 112 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4348.267 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 113 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4279.203 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 114 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4220.243 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 115 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4196.431 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 116 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4110.788 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 117 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 4003.629 , MEAN : 0.000 , STD : 1.000
-> EPOCH : 118 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 3981.227 , MEAN : 0.000 , STD : 1.000
