-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.649 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.628 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.610 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.591 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.574 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  25 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.554 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  26 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.537 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  27 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.522 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  28 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.506 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  29 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.490 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  30 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.476 , MEAN : 0.000 , STD : 1.000
