-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.361 , KL LOSS : 101130.184 , TOTAL LOSS : 17.361 , MEAN : -0.000 , STD : 1.508
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.363 , KL LOSS : 124014.577 , TOTAL LOSS : 17.363 , MEAN : -0.000 , STD : 1.506
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.021 , KL LOSS : 546211.913 , TOTAL LOSS : 17.021 , MEAN : -0.000 , STD : 1.505
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.787 , KL LOSS : 71203.331 , TOTAL LOSS : 16.787 , MEAN : -0.000 , STD : 1.505
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.871 , KL LOSS : 37846.399 , TOTAL LOSS : 16.871 , MEAN : -0.000 , STD : 1.502
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.848 , KL LOSS : 32906.668 , TOTAL LOSS : 16.848 , MEAN : -0.000 , STD : 1.501
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.586 , KL LOSS : 19374.998 , TOTAL LOSS : 16.586 , MEAN : -0.000 , STD : 1.501
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.589 , KL LOSS : 71506.042 , TOTAL LOSS : 16.589 , MEAN : -0.000 , STD : 1.501
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.335 , KL LOSS : 96021.130 , TOTAL LOSS : 16.335 , MEAN : -0.000 , STD : 1.502
-> EPOCH :  59 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.465 , KL LOSS : 210593.176 , TOTAL LOSS : 16.465 , MEAN : -0.000 , STD : 1.502
-> EPOCH :  60 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.446 , KL LOSS : 209810.127 , TOTAL LOSS : 16.446 , MEAN : -0.000 , STD : 1.501
-> EPOCH :  61 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.240 , KL LOSS : 200672.008 , TOTAL LOSS : 16.240 , MEAN : -0.000 , STD : 1.500
-> EPOCH :  62 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.086 , KL LOSS : 73430.692 , TOTAL LOSS : 16.086 , MEAN : -0.000 , STD : 1.501
-> EPOCH :  63 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.461 , KL LOSS : 74592.494 , TOTAL LOSS : 16.461 , MEAN : -0.000 , STD : 1.500
-> EPOCH :  64 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.308 , KL LOSS : 218427.673 , TOTAL LOSS : 16.308 , MEAN : -0.000 , STD : 1.499
-> EPOCH :  65 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.271 , KL LOSS : 55087.764 , TOTAL LOSS : 16.271 , MEAN : -0.000 , STD : 1.499
-> EPOCH :  66 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.024 , KL LOSS : 109262.307 , TOTAL LOSS : 16.024 , MEAN : -0.000 , STD : 1.498
