-> EPOCH :  65 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37814.074 , KL LOSS : 38592.702 , TOTAL LOSS : 37814.074 , MEAN : 0.001 , STD : 1.503
-> EPOCH :  66 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37931.191 , KL LOSS : 32828.747 , TOTAL LOSS : 37931.191 , MEAN : 0.001 , STD : 1.501
-> EPOCH :  67 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38009.385 , KL LOSS : 34393.506 , TOTAL LOSS : 38009.385 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  68 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37320.562 , KL LOSS : 45062.201 , TOTAL LOSS : 37320.562 , MEAN : 0.001 , STD : 1.502
-> EPOCH :  69 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37826.083 , KL LOSS : 52892.094 , TOTAL LOSS : 37826.083 , MEAN : 0.001 , STD : 1.501
-> EPOCH :  70 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37320.224 , KL LOSS : 80276.409 , TOTAL LOSS : 37320.224 , MEAN : 0.001 , STD : 1.502
-> EPOCH :  71 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37607.045 , KL LOSS : 41551.147 , TOTAL LOSS : 37607.045 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  72 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37938.705 , KL LOSS : 27510.617 , TOTAL LOSS : 37938.705 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  73 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37235.625 , KL LOSS : 35893.006 , TOTAL LOSS : 37235.625 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  74 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37915.397 , KL LOSS : 28821.923 , TOTAL LOSS : 37915.397 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  75 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36794.682 , KL LOSS : 36352.145 , TOTAL LOSS : 36794.682 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  76 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36481.666 , KL LOSS : 42627.393 , TOTAL LOSS : 36481.666 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  77 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37252.440 , KL LOSS : 42509.435 , TOTAL LOSS : 37252.440 , MEAN : 0.001 , STD : 1.500
-> EPOCH :  78 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37094.594 , KL LOSS : 60928.870 , TOTAL LOSS : 37094.594 , MEAN : 0.001 , STD : 1.501
-> EPOCH :  79 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37038.503 , KL LOSS : 59095.440 , TOTAL LOSS : 37038.503 , MEAN : 0.001 , STD : 1.501
-> EPOCH :  80 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36570.005 , KL LOSS : 42883.807 , TOTAL LOSS : 36570.005 , MEAN : 0.001 , STD : 1.498
-> EPOCH :  81 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35972.337 , KL LOSS : 46302.807 , TOTAL LOSS : 35972.337 , MEAN : 0.001 , STD : 1.496
-> EPOCH :  82 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35981.345 , KL LOSS : 42162.166 , TOTAL LOSS : 35981.345 , MEAN : 0.001 , STD : 1.498
-> EPOCH :  83 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36187.415 , KL LOSS : 34422.186 , TOTAL LOSS : 36187.415 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  84 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36158.670 , KL LOSS : 35081.207 , TOTAL LOSS : 36158.670 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  85 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36694.405 , KL LOSS : 51040.207 , TOTAL LOSS : 36694.405 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  86 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35976.107 , KL LOSS : 54740.790 , TOTAL LOSS : 35976.107 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  87 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36185.087 , KL LOSS : 65418.805 , TOTAL LOSS : 36185.087 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  88 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36355.419 , KL LOSS : 52921.062 , TOTAL LOSS : 36355.419 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  89 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35403.722 , KL LOSS : 53643.392 , TOTAL LOSS : 35403.722 , MEAN : 0.001 , STD : 1.499
-> EPOCH :  90 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35028.085 , KL LOSS : 60788.543 , TOTAL LOSS : 35028.085 , MEAN : 0.001 , STD : 1.498
-> EPOCH :  91 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35670.527 , KL LOSS : 67253.774 , TOTAL LOSS : 35670.527 , MEAN : 0.001 , STD : 1.497
-> EPOCH :  92 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35783.139 , KL LOSS : 41429.094 , TOTAL LOSS : 35783.139 , MEAN : 0.001 , STD : 1.496
-> EPOCH :  93 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35311.063 , KL LOSS : 34707.829 , TOTAL LOSS : 35311.063 , MEAN : 0.001 , STD : 1.495
-> EPOCH :  94 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35657.272 , KL LOSS : 33288.621 , TOTAL LOSS : 35657.272 , MEAN : 0.001 , STD : 1.494
-> EPOCH :  95 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35744.533 , KL LOSS : 49877.177 , TOTAL LOSS : 35744.533 , MEAN : 0.001 , STD : 1.497
-> EPOCH :  96 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35663.066 , KL LOSS : 49641.970 , TOTAL LOSS : 35663.066 , MEAN : 0.001 , STD : 1.497
-> EPOCH :  97 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35444.190 , KL LOSS : 47199.767 , TOTAL LOSS : 35444.190 , MEAN : 0.001 , STD : 1.495
-> EPOCH :  98 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35148.540 , KL LOSS : 55211.574 , TOTAL LOSS : 35148.540 , MEAN : 0.001 , STD : 1.496
-> EPOCH :  99 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35331.050 , KL LOSS : 41083.594 , TOTAL LOSS : 35331.050 , MEAN : 0.001 , STD : 1.494
