-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.416 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.406 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.395 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.385 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.375 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.367 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.359 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.351 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.343 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.335 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.329 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.321 , MEAN : 0.000 , STD : 1.000
